;A;B;C;D;E
266;27;31;44;46;49
267;3;38;39;41;45
268;8;11;23;41;42
269;7;14;31;35;46
270;22;33;41;46;50
271;3;11;13;15;23
272;2;4;17;20;46
273;13;17;20;24;47
274;1;24;25;31;38
275;6;14;19;27;35
276;1;3;11;18;31
277;15;16;17;23;30
278;3;9;25;31;49
279;27;35;36;38;48
280;14;18;26;40;45
281;18;39;44;46;47
282;13;14;21;23;40
283;1;4;20;32;34
284;11;20;28;41;45
285;3;4;9;19;28
286;11;38;40;42;48
287;15;22;29;33;47
288;10;17;32;36;47
289;2;12;15;29;44
290;5;17;28;40;44
291;9;40;43;44;46
292;1;10;25;46;49
293;2;20;23;29;50
294;2;35;44;45;50
295;1;14;17;24;50
296;3;4;17;41;47
297;11;16;18;22;43
298;5;16;20;29;30
299;9;15;20;24;34
300;1;7;12;16;18
301;16;26;32;40;47
302;16;30;33;40;43
303;2;7;38;40;45
304;16;17;25;40;44
305;3;9;17;45;47
306;10;23;26;29;35
307;15;24;29;33;41
308;7;8;24;34;46
309;4;8;19;25;44
310;18;26;33;42;46
311;16;18;20;27;46
312;15;23;28;33;36
313;4;27;37;48;49
314;4;14;22;33;42
315;5;15;17;29;32
316;6;8;16;23;50
317;3;10;21;25;34
318;22;24;25;28;46
319;9;21;31;32;33
320;24;26;29;36;49
321;3;14;17;37;39
322;1;11;23;41;44
323;15;31;35;40;46
324;14;19;21;30;32
325;5;13;22;36;39
326;1;5;7;9;21
327;16;24;33;35;43
328;9;18;30;47;48
329;2;7;24;38;45
330;13;14;21;34;46
331;13;33;40;42;43
332;2;22;40;43;50
333;4;8;12;25;31
334;4;15;17;21;23
335;2;12;32;43;44
336;8;25;26;38;48
337;3;6;9;18;24
338;4;7;28;36;43
339;24;33;35;46;49
340;5;8;16;42;46
341;3;8;13;18;40
342;12;15;32;44;49
343;6;26;31;42;50
344;9;12;28;32;48
345;18;19;33;38;44
346;5;17;27;33;42
347;8;32;34;46;49
348;13;15;18;39;45
349;17;22;28;31;46
350;18;22;35;36;41
351;4;16;21;31;42
352;4;14;24;26;30
353;3;16;20;34;49
354;19;24;31;38;40
355;3;10;25;32;43
356;6;12;35;39;49
357;2;9;23;36;47
358;24;25;28;35;48
359;6;29;38;45;47
360;5;8;21;24;26
361;1;24;30;31;47
362;14;16;21;25;26
363;7;16;18;19;24
364;4;29;30;31;45
365;1;2;11;19;47
366;15;20;24;44;49
367;4;9;15;24;42
368;22;31;43;44;50
369;14;16;21;30;37
370;18;21;37;43;47
371;1;6;11;17;38
372;3;9;10;19;42
373;5;7;15;19;29
374;20;27;33;35;46
375;8;26;38;47;50
376;10;12;35;36;43
377;7;8;20;35;38
378;8;23;40;41;42
379;20;27;37;41;45
380;18;25;26;35;38
381;1;15;34;48;50
382;31;36;40;42;45
383;31;32;45;47;49
384;3;8;30;46;48
385;6;11;38;41;44
386;2;4;20;21;49
387;7;20;35;42;44
388;15;18;19;41;42
389;10;18;32;35;46
390;21;24;29;30;50
391;3;21;22;33;47
392;17;21;41;48;49
393;21;24;26;34;47
394;15;19;20;45;49
395;8;12;13;39;44
396;6;9;31;43;44
397;2;30;34;35;45
398;3;17;31;34;40
399;14;20;23;39;49
400;10;19;24;30;39
401;3;12;24;37;38
402;2;3;30;31;45
403;8;14;23;30;45
404;25;31;38;49;50
405;12;20;21;22;35
406;7;12;28;34;45
407;6;27;30;35;41
408;4;14;25;34;49
409;1;23;32;45;49
410;5;12;20;29;48
411;1;7;12;23;39
412;7;16;22;36;44
413;2;6;30;32;49
414;2;13;39;45;47
415;12;22;24;29;38
416;15;19;35;36;41
417;1;17;29;39;42
418;9;14;28;30;37
419;13;19;23;34;41
420;3;21;26;40;41
421;2;7;8;43;50
422;1;18;23;33;41
423;6;13;15;34;35
424;6;11;12;21;41
425;9;11;15;36;43
426;21;27;29;34;49
427;12;15;32;40;45
428;8;22;31;32;36
429;9;16;17;29;39
430;7;16;22;30;48
431;2;22;33;38;47
432;14;16;32;34;47
433;12;34;36;47;48
434;5;6;9;15;29
435;13;21;25;34;35
436;7;11;19;32;43
437;3;19;28;43;49
438;4;9;15;24;28
439;9;20;27;35;48
440;26;27;30;46;49
441;8;11;22;38;41
442;5;23;28;38;49
443;2;5;24;43;45
444;7;12;14;40;42
445;1;7;9;29;46
446;15;19;34;39;49
447;1;11;17;23;29
448;5;11;35;44;50
449;17;21;23;37;45
450;11;19;24;33;39
451;5;12;26;47;50
452;5;17;21;37;38
453;18;20;34;49;50
